sample	embryo	stage	pass_rnaQC	pass_metQC	pass_accQC	lineage10x	lineage10x_2	UMAP1	UMAP2
E6.5_Plate1_A12	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-3.57776733646228	-7.96567772772431
E6.5_Plate1_A2	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-0.95016545776384	-5.1277275551458
E6.5_Plate1_A3	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-5.04295325984332	-6.97245730324635
E6.5_Plate1_A4	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-4.58138759290175	-5.48255120109471
E6.5_Plate1_A6	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	0.82739996384673	-1.83704668649827
E6.5_Plate1_A7	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	0.98182537385329	-3.41967426340954
E6.5_Plate1_B1	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-3.17235234241036	-5.498254640081
E6.5_Plate1_B10	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-4.86943815634526	-6.57798582439112
E6.5_Plate1_B12	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-0.922097266684762	-3.926811955808
E6.5_Plate1_B4	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-1.15077812039002	-2.64320017315333
E6.5_Plate1_B8	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-2.00379355991215	-2.9364122150139
E6.5_Plate1_B9	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-2.466685811783	-5.36858272146597
E6.5_Plate1_C1	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-0.694527490479287	-4.89118404477398
E6.5_Plate1_C10	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-2.37214762785656	-4.73125709391673
E6.5_Plate1_C2	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-3.3091240327102	-6.75380129322998
E6.5_Plate1_C6	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-3.56696020482435	-6.55868503820593
E6.5_Plate1_C7	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-5.48453567329607	-9.28042541609502
E6.5_Plate1_C8	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-5.64890539107707	-9.22830135912555
E6.5_Plate1_C9	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-2.40562302569976	-6.02210178607285
E6.5_Plate1_D1	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-3.29738795884237	-4.85024212735005
E6.5_Plate1_D11	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-4.74016390269851	-7.327906147481
E6.5_Plate1_D12	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-1.12771048190507	-5.4836605341066
E6.5_Plate1_D6	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-0.914421531547088	-5.29630427079489
E6.5_Plate1_E12	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-1.85350347605621	-5.94700665497476
E6.5_Plate1_E3	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-0.0241678185325062	-4.54130798898125
E6.5_Plate1_E6	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-4.86829217826833	-7.31378670472903
E6.5_Plate1_E7	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-2.00652327602738	-3.63680927194924
E6.5_Plate1_F1	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-0.895205107936105	-4.51014885638313
E6.5_Plate1_F10	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-0.0443045784747268	-2.889475687748
E6.5_Plate1_F11	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-3.47825005526822	-7.09458896660938
E6.5_Plate1_F12	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-2.4749840202826	-5.85101417573968
E6.5_Plate1_F2	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-4.91071952437543	-7.70639708066392
E6.5_Plate1_F3	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-3.24928053515961	-6.83676134644965
E6.5_Plate1_F4	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-3.31938588170399	-8.21814551630994
E6.5_Plate1_F7	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-2.01884043313638	-4.16600009354131
E6.5_Plate1_F8	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-2.41497071737193	-6.29514997631242
E6.5_Plate1_G1	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-0.42235225215909	-5.95221385510612
E6.5_Plate1_G10	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	-2.88129915434105	-6.51071475151918
E6.5_Plate1_G12	E6.5_embryomixed	E6.5	TRUE	NA	NA	Epiblast	Epiblast	3.60063755564596	-1.54004709730128
